"sucursal_id","asesor_id","codigo_prestamo","dias_mora","producto","departamento"
"13","265","221000002","7","Granos Básicos","Nueva Segovia"
"10","237","178980007","2","Granos Básicos","Jinotega"
"2","309","07016069","2","Granos Básicos","Matagalpa"
"1","251","02005146","16","Granos Básicos","Jinotega"
"4","273","13000308","46","Granos Básicos","Estelí"
"4","273","190790005","73","Granos Básicos","Estelí"
"3","257","238760001","7","Producción Ganadera","Jinotega"
"4","273","210970004","46","Granos Básicos","Estelí"
"3","257","04014597","7","Pequeño Comercio","Jinotega"
"10","269","218370002","42","Pequeño Comercio","Jinotega"
"2","310","213810004","2","Granos Básicos","Matagalpa"
"2","309","07020994","2","Granos Básicos","Matagalpa"
"13","221","239080001","7","Granos Básicos","Madriz"
"1","251","01026398","7","Hortalizas","Jinotega"
"1","89","010165917","8","Pequeño Comercio","Jinotega"
"1","89","01026976","63","Hortalizas","Jinotega"
"1","320","239320001","16","Granos Básicos","Jinotega"
"1","320","238840001","16","Granos Básicos","Jinotega"
"1","320","239310001","16","Granos Básicos","Jinotega"
"2","309","07002719","0","Producción Ganadera","Matagalpa"
"4","273","191090005","37","Granos Básicos","Estelí"
"4","273","13000778","37","Granos Básicos","Estelí"
"4","273","214100003","3","Granos Básicos","Estelí"
"3","120","205720005","37","Granos Básicos","Jinotega"
"3","120","240020001","37","Granos Básicos","Jinotega"
"5","312","221770002","7","Granos Básicos","Jinotega"
"1","167","010135316","1","Pequeño Comercio","Jinotega"
"1","320","229070002","7","Hortalizas","Jinotega"
"4","273","16840006","6","Terrenos","Estelí"
"4","273","240870001","37","Granos Básicos","Estelí"
"9","283","140002310","0","Pequeño Comercio","Matagalpa"
"4","273","240860001","36","Granos Básicos","Estelí"
"1","320","020022616","7","Granos Básicos","Jinotega"
"2","309","07021206","2","Granos Básicos","Matagalpa"
"4","273","189170005","7","Granos Básicos","Estelí"
"4","273","240860002","36","Granos Básicos","Estelí"
"4","273","210970006","46","Granos Básicos","Estelí"
"1","251","20810001","7","Granos Básicos","Jinotega"
"1","251","20810002","7","Hortalizas","Jinotega"
"13","221","241020001","2","Granos Básicos","Madriz"
"13","221","241020002","0","Maquinaria y Equipos","Madriz"
"1","251","010271016","7","Hortalizas","Jinotega"
"1","106","01105319","7","Hortalizas","Jinotega"
"2","309","07021106","2","Granos Básicos","Matagalpa"
"1","251","241230001","2","Hortalizas","Jinotega"
"4","273","13002315","7","Granos Básicos","Estelí"
"4","273","213990006","37","Granos Básicos","Estelí"
"5","312","202310008","2","Mantenimiento de Café","Jinotega"
"13","221","205620005","2","Granos Básicos","Madriz"
"13","221","241870001","2","Granos Básicos","Madriz"
"1","106","011023817","7","Granos Básicos","Jinotega"
"9","266","06009097","2","Granos Básicos","Jinotega"
"9","266","06009098","2","Granos Básicos","Jinotega"
"4","273","210970007","46","Granos Básicos","Estelí"
"5","280","213150004","0","Granos Básicos","Jinotega"
"4","273","240890002","37","Granos Básicos","Estelí"
"4","273","242730002","7","Granos Básicos","Estelí"
"4","273","242720001","7","Granos Básicos","Estelí"
"10","237","178980008","2","Granos Básicos","Jinotega"
"1","106","010219412","7","Maquinaria y Equipos","Jinotega"
"10","237","221920002","8","Pequeño Comercio","Nueva Segovia"
"1","106","011053110","7","Hortalizas","Jinotega"
"1","320","238840002","16","Granos Básicos","Jinotega"
"13","221","243440001","4","Pequeño Comercio","Nueva Segovia"
"5","239","199520003","1","Pequeño Comercio","Jinotega"
"2","309","070073910","0","Granos Básicos","Matagalpa"
"3","120","020039118","37","Granos Básicos","Jinotega"
"2","309","220820002","0","Pequeño Comercio","Matagalpa"
"3","271","233180002","0","Hortalizas","Jinotega"
"15","267","220470002","1","Pequeño Comercio","Jinotega"
"14","288","239990002","7","Granos Básicos","Nueva Segovia"
"13","221","A244680001","0","Pequeño Comercio","Madriz"
"4","273","A242750001","7","Granos Básicos","Estelí"
"10","301","220440002","15","Pequeño Comercio","Jinotega"
"4","273","204830007","41","Producción Ganadera","Estelí"
"2","315","070013413","32","Granos Básicos","Matagalpa"
"2","315","070013414","32","Mantenimiento de Café","Matagalpa"
"4","273","A244760001","42","Granos Básicos","Estelí"
"3","271","233180003","0","Hortalizas","Jinotega"
"5","312","202310010","45","Maquinaria y Equipos","Jinotega"
"1","320","232150002","31","Pequeño Comercio","Jinotega"
"15","267","209770003","0","Hortalizas","Jinotega"
"2","293","07000397","2","Granos Básicos","Matagalpa"
"13","221","A245650001","7","Pequeño Comercio","Madriz"
"5","280","05614454","3","Granos Básicos","Jinotega"
"13","221","226010002","0","Granos Básicos","Madriz"
"1","106","208420002","6","Pequeño Comercio","Jinotega"
"3","257","04014005","6","Credi - Vivienda","Jinotega"
"1","251","199640004","37","Granos Básicos","Jinotega"
"13","307","225050002","1","Pequeño Comercio","Madriz"
"1","106","22310002","0","Pequeño Comercio","Jinotega"
"4","273","179450008","7","Hortalizas","Estelí"
"1","106","010180910","7","Pequeño Comercio","Jinotega"
"3","120","020039119","37","Granos Básicos","Jinotega"
"10","278","226220003","6","Pequeño Comercio","Nueva Segovia"
"4","273","225470004","38","Pequeño Comercio","Estelí"
"4","273","A250760001","7","Producción Ganadera","Estelí"
"2","285","177300003","0","Pequeño Comercio","Matagalpa"
"1","106","01112205","2","Pequeño Comercio","Jinotega"
"2","309","12000665","0","Pequeño Comercio","Matagalpa"
"3","311","04018035","4","Pequeño Comercio","Jinotega"
"10","269","05613456","2","Granos Básicos","Jinotega"
