"asociado_id","cantidad_entrega","anios_asociacion"
"6209","15.13","6"
"6210","74.32","6"
"6217","137.03","6"
"6225","4.98","6"
"6227","25.31","6"
"6241","5.56","6"
"6243","20.32","6"
"6244","93.2","6"
"6251","18.09","6"
"6255","4.53","6"
"6256","12.05","6"
"6259","747.74","6"
"6260","3.04","6"
"6262","35.1","6"
"6263","70.91","6"
"6275","539.82","6"
"6278","12.85","6"
"6287","58.09","6"
"6293","112.06","6"
"6303","73.46","6"
"6305","111.91","6"
"6307","21.61","6"
"6309","28.44","6"
"6310","47.63","6"
"6327","48.8","6"
"6328","82.03","6"
"6332","42.57","6"
"6333","19.15","6"
"6334","32.48","6"
"6337","33.08","6"
"6343","2.24","6"
"6344","115.35","6"
"6346","3.93","6"
"6350","9.18","6"
"6353","13.78","6"
"6355","30.34","6"
"6364","108.12","6"
"6373","310.79","6"
"6378","34.95","6"
"6389","46.11","6"
"6390","15.21","6"
"6392","72.45","6"
"6395","19","6"
"6423","12.51","6"
"6425","86.41","6"
"6427","29.05","6"
"6436","107.72","6"
"6449","99.84","6"
"6454","8.08","6"
"6457","8.88","6"
"6458","71.33","6"
"6466","213.82","6"
"6467","57.74","6"
"6471","18.55","6"
"6472","47.19","6"
"6478","85.82","6"
"6483","14.62","6"
"6502","20.08","6"
"6503","1.31","6"
"6504","25.13","6"
"6511","130.94","6"
"6514","19.38","6"
"6515","19.77","5"
"6520","58.4","6"
"6525","160.87","6"
"6527","286.67","6"
"6528","139.59","6"
"6537","1.21","6"
"6546","86.11","6"
"6547","37.31","6"
"6560","0.94","6"
"6570","58.07","6"
"6578","22.17","6"
"6591","18.47","6"
"6592","244.77","6"
"6593","59.13","6"
"6604","90.41","6"
"6608","9.75","6"
"6618","62.13","6"
"6627","218.1","6"
"6630","37.43","6"
"6634","61.12","6"
"6635","34.07","6"
"6650","18.51","6"
"6651","98.77","6"
"6652","119.34","6"
"6654","34.74","6"
"6658","14.49","6"
"6660","89.68","6"
"6662","23.06","6"
"6671","48.59","6"
"6677","9.76","6"
"6679","103.59","6"
"6680","26.21","6"
"6681","2.34","6"
"6699","35.58","6"
"6700","369.95","6"
"6703","366.67","6"
"6704","36.57","6"
"6706","15.87","6"
"6712","72.6","6"
"6718","194.18","6"
"6720","16.45","6"
"6721","71.9","6"
"6722","96.53","6"
"6734","38.44","6"
"6749","89.17","6"
"6750","39.35","6"
"6751","15.8","6"
"6753","118.64","6"
"6754","41.84","6"
"6756","31.79","6"
"6763","90.72","6"
"6782","126.64","6"
"6784","3.33","6"
"6785","23.18","6"
"6805","54.18","6"
"6811","15.14","6"
"6812","7","6"
"6816","72.3","6"
"6818","342.05","6"
"6821","76.42","6"
"6823","63.9","6"
"6827","17.98","6"
"6861","98.8","6"
"6862","240.67","6"
"6863","10.84","6"
"6864","167.45","6"
"6868","93.86","6"
"6893","14.58","6"
"6895","51.31","6"
"6897","26.37","6"
"6898","20.82","6"
"6907","64.6","6"
"6928","18.35","6"
"6956","31.71","6"
"6961","31.62","6"
"6962","28.59","6"
"6966","6.87","6"
"6970","10.94","6"
"6983","22.1","6"
"7001","5.47","6"
"7013","49.84","6"
"7028","94.11","6"
"7080","3.55","0"
"7096","300.07","6"
"7102","1.21","6"
"7106","23.96","6"
"7119","11.6","6"
"7126","124.54","6"
"7148","15.04","6"
"7178","46.32","6"
"7183","55.58","6"
"7184","5.52","6"
"7192","156.68","6"
"7218","6.8","0"
"7225","57.64","6"
"7237","115.45","5"
"7239","12.4","6"
"7241","54.01","6"
"7242","103.48","6"
"7243","13.75","6"
"7248","15.87","6"
"7274","12.6","6"
"7281","291.44","6"
"7297","29.28","6"
"7325","3.47","6"
"7329","20.01","6"
"7342","41.02","5"
"7362","37.59","6"
"7363","39.8","4"
"7406","64.38","5"
"7414","18.89","5"
"7416","4.64","5"
"7418","31.11","5"
"7424","11.87","6"
"7430","5.94","5"
"7454","10.23","5"
"7476","48.95","5"
"7481","403.99","5"
"7512","2.93","5"
"7520","105.47","5"
"7521","30.66","5"
"7538","52.46","5"
"7560","61.68","5"
"7563","31.02","5"
"7571","77.49","2"
"7575","1.49","5"
"7584","59.59","5"
"7586","313.13","5"
"7595","38.21","1"
"7599","29.38","5"
"7608","12.96","5"
"7611","24.67","5"
"7612","21.11","5"
"7618","21.99","5"
"7639","14.62","5"
"7642","89.48","5"
"7643","77.66","5"
"7644","90.16","5"
"7646","41.78","5"
"7648","8.4","5"
"7658","73.49","5"
"7661","22.3","5"
"7675","38.3","5"
"7684","42.37","5"
"7687","18.93","5"
"7688","18.23","5"
"7690","10.37","5"
"7693","8.72","5"
"7705","32.46","5"
"7706","75.74","5"
"7720","18.71","5"
"7736","30.96","5"
"7738","9.88","5"
"7740","7.24","5"
"7759","52.78","5"
"7765","72.61","5"
"7766","18.49","5"
"7773","112.21","5"
"7779","59.29","5"
"7780","128.6","5"
"7786","11.47","5"
"7790","22.16","5"
"7802","15.41","5"
"7825","34.19","5"
"7829","33.02","5"
"7833","1.72","5"
"7842","114.97","5"
"7845","11.53","5"
"7848","25.76","5"
"7852","18.69","5"
"7860","7.48","5"
"7886","622.36","5"
"7887","21.93","5"
"7890","32.51","5"
"7891","11.07","5"
"7893","40","5"
"7896","49.55","5"
"7898","26.92","5"
"7904","188.17","5"
"7915","42.63","5"
"7934","6.04","3"
"7942","3.31","5"
"7959","16.69","5"
"7960","0.65","5"
"7966","19.38","5"
"7967","13.92","5"
"7968","17.1","5"
"7969","153.92","5"
"7983","41.54","5"
"7998","7.97","5"
"8009","95.26","5"
"8016","23.7","5"
"8017","20.72","5"
"8018","12.19","5"
"8021","83.27","5"
"8022","150.09","5"
"8025","6.7","5"
"8037","5.3","5"
"8052","5.49","5"
"8057","59.31","5"
"8062","7.72","5"
"8065","48.12","5"
"8093","14.8","5"
"8096","9.5","5"
"8102","4.23","5"
"8103","37.18","5"
"8112","12.1","5"
"8114","24.82","5"
"8151","16.01","5"
"8152","10.58","5"
"8155","4.54","5"
"8173","10.08","5"
"8223","69.68","5"
"8231","65.74","5"
"8239","12.66","5"
"8251","206.4","5"
"8266","6.8","5"
"8281","41.73","5"
"8282","35.74","5"
"8288","76.82","5"
"8291","15.14","5"
"8294","7.96","5"
"8297","1.68","5"
"8309","3.53","5"
"8312","21.13","5"
"8316","465.15","5"
"8320","37.01","5"
"8327","171.52","5"
"8350","999.49","5"
"8352","6.2","5"
"8353","43.41","5"
"8358","30.55","5"
"8359","7.6","5"
"8378","25.15","5"
"8393","84.1","5"
"8405","33.36","5"
"8419","46.11","5"
"8421","3.05","5"
"8424","13.32","5"
"8425","41.76","5"
"8427","32.92","5"
"8444","17.7","5"
"8455","9.42","5"
"8456","17.83","5"
"8462","3.12","5"
"8472","201.62","5"
"8473","78.51","5"
"8474","64.92","5"
"8488","20.6","5"
"8489","23.2","5"
"8499","32.14","5"
"8516","4.12","5"
"8519","14.09","5"
"8521","243.01","5"
"8523","80.75","5"
"8525","5.68","5"
"8527","0.98","5"
"8528","92.75","5"
"8538","24.91","5"
"8545","43.54","5"
"8551","16.41","5"
"8553","80.73","5"
"8558","15.01","5"
"8562","29.76","5"
"8573","1.98","5"
"8574","48.03","5"
"8575","35.77","5"
"8580","47.84","5"
"8581","25.57","5"
"8588","4.39","5"
"8591","5.47","5"
"8592","22.92","5"
"8597","13.2","5"
"8604","5.92","5"
"8606","11.63","5"
"8607","61.83","5"
"8618","7.86","5"
"8631","45.35","5"
"8656","222.07","5"
"8659","55.02","5"
"8663","16.77","5"
"8664","25.3","5"
"8666","64.61","5"
"8675","36.96","5"
"8680","23.28","5"
"8681","23.61","5"
"8682","25.88","5"
"8683","4.12","5"
"8685","1.54","5"
"8690","27.63","5"
"8696","44.15","5"
"8701","44.17","5"
"8707","110.56","5"
"8708","24.84","5"
"8712","43.04","5"
"8714","208.67","5"
"8721","50.23","5"
"8733","21.45","5"
"8750","54.92","5"
"8759","117.76","5"
"8762","4.48","5"
"8766","24.19","5"
"8780","61.55","5"
"8781","5.5","5"
"8792","15.15","5"
"8793","7.33","5"
"8798","1.29","5"
"8799","1.05","5"
"8804","5.73","5"
"8811","28.88","5"
"8822","2.91","5"
"8837","2.54","5"
"8848","95.42","5"
"8849","70.19","5"
"8855","7.96","5"
"8859","14.4","5"
"8867","34.72","5"
"8879","157.87","5"
"8881","42.71","5"
"8885","15.35","5"
"8887","5.3","5"
"8890","111.81","5"
"8923","48.72","5"
"8929","1.58","5"
"8936","53.97","5"
"8944","3.45","5"
"8955","20.21","5"
"8956","5.76","5"
"8960","20.05","5"
"8964","212.37","5"
"8966","95.7","5"
"8967","5.2","5"
"8971","121.4","5"
"8972","2.79","5"
"8975","58.99","5"
"8987","15.07","5"
"8990","24.61","5"
"8997","21.02","5"
"8998","73.88","5"
"9007","295.08","5"
"9023","24.8","5"
"9024","13.79","5"
"9029","319.95","5"
"9032","47.65","5"
"9044","2.92","3"
"9054","7.51","5"
"9061","9.07","5"
"9074","7.19","5"
"9093","162.75","5"
"9098","320.12","5"
"9099","4.79","5"
"9112","84.92","5"
"9120","31.92","5"
"9128","24.1","5"
"9133","2.12","5"
"9138","52.47","5"
"9140","66.55","5"
"9141","48.68","5"
"9161","9.04","5"
"9182","142.58","5"
"9186","6.16","5"
"9194","10.27","5"
"9195","554.8","5"
"9234","12.4","5"
"9236","85.07","5"
"9237","122.6","5"
"9241","139","5"
"9251","23.86","5"
"9258","48.62","5"
"9298","16.29","5"
"9303","10.53","5"
"9311","5.37","5"
"9340","8.25","5"
"9345","5.84","5"
"9357","20.83","5"
"9395","291.26","5"
"9397","12.91","5"
"9399","55.5","5"
"9408","8.94","5"
"9411","2.12","5"
"9415","60.51","5"
"9420","97.66","5"
"9421","8.25","5"
"9437","31.68","5"
"9452","9.67","5"
"9455","3.81","5"
"9464","8.71","5"
"9472","2.39","5"
"9486","2.45","5"
"9494","67.47","5"
"9500","108.53","5"
"9508","35.21","5"
"9514","23.06","5"
"9517","87.36","5"
"9525","8.78","5"
"9557","0.86","5"
"9559","4.33","5"
"9563","25.95","5"
"9569","19.62","5"
"9580","84.73","5"
"9581","3.81","5"
"9586","52.94","5"
"9596","17.64","4"
"9604","11.95","0"
"9621","16.55","5"
"9623","30.29","5"
"9626","150.69","5"
"9646","16.4","5"
"9647","8.17","5"
"9649","47.42","5"
"9650","8.56","5"
"9652","3.96","5"
"9653","82.18","5"
"9675","27.12","5"
"9685","14.81","5"
"9694","21.76","5"
"9695","49.02","5"
"9699","3.71","5"
"9739","11.44","5"
"9744","26.32","5"
"9759","24.85","5"
"9774","121.81","5"
"9788","57.6","5"
"9793","14.59","5"
"9822","8.07","5"
"9829","6.71","5"
"9842","93.96","5"
"9847","76.88","5"
"9854","9.86","5"
"9855","39.77","1"
"9858","7.9","5"
"9861","14.6","5"
"9886","67.28","4"
"9898","17.78","5"
"9909","8.47","5"
"9912","35.85","5"
"9920","17.85","5"
"9934","107.33","5"
"9962","9.51","5"
"9989","1.62","5"
"9994","44.61","5"
"10007","11.39","5"
"10008","40.64","5"
"10015","80.21","5"
"10030","0.92","5"
"10041","44.53","5"
"10047","66.19","5"
"10056","4.49","5"
"10060","1.22","5"
"10076","254.33","5"
"10081","16.02","2"
"10091","8.23","5"
"10104","68.49","5"
"10113","55.1","5"
"10114","114.27","5"
"10116","1.27","5"
"10120","23.3","5"
"10136","21.85","4"
"10137","109.02","4"
"10163","49.22","4"
"10167","19.87","4"
"10172","17.15","4"
"10177","43.84","4"
"10178","87.87","4"
"10195","15.11","4"
"10196","8.64","4"
"10209","7.16","4"
"10210","88.44","4"
"10214","118.46","4"
"10215","7.32","4"
"10219","67.69","4"
"10222","4.39","4"
"10226","70.21","4"
"10231","257.51","1"
"10234","27.57","4"
"10241","1.94","4"
"10243","116.75","4"
"10254","32.99","4"
"10263","139.32","5"
"10268","18.57","4"
"10281","7.21","4"
"10284","64.44","4"
"10285","45.67","4"
"10288","47.02","4"
"10303","19.19","4"
"10306","5.73","4"
"10307","20.79","4"
"10308","38.47","4"
"10321","40.6","4"
"10327","6.8","4"
"10334","23.55","4"
"10335","50.58","4"
"10345","11.28","4"
"10357","9.74","4"
"10360","11.03","4"
"10370","10.62","4"
"10371","17.3","4"
"10372","17.95","4"
"10375","42.9","4"
"10381","67.95","4"
"10384","7.93","4"
"10387","14.78","4"
"10393","9.73","4"
"10401","23.11","4"
"10405","36.44","4"
"10408","19.78","4"
"10409","3.78","4"
"10425","99.69","4"
"10431","91.12","4"
"10432","72.47","4"
"10433","4.71","4"
"10439","1.7","4"
"10440","9.84","4"
"10441","67.87","4"
"10442","25.56","4"
"10449","8.36","4"
"10451","54.47","4"
"10454","18.03","4"
"10477","14.27","4"
"10481","14.59","4"
"10485","110.33","4"
"10489","4.95","4"
"10492","15.17","4"
"10499","5.1","4"
"10501","40.16","4"
"10504","38.99","4"
"10518","303.67","4"
"10520","54.17","4"
"10523","28.13","4"
"10533","13.44","4"
"10534","1.77","4"
"10539","15.65","4"
"10543","33.92","4"
"10544","10.93","4"
"10547","12.59","4"
"10558","44.59","4"
"10563","281.37","4"
"10568","65.95","4"
"10572","157.11","4"
"10575","16.91","4"
"10577","17.12","4"
"10578","19.31","4"
"10595","46.77","4"
"10597","0.6","4"
"10598","51.1","4"
"10600","46.53","4"
"10604","12.94","4"
"10610","16.29","4"
"10614","17.78","4"
"10620","2.5","4"
"10625","17.97","4"
"10629","69.04","4"
"10631","125.65","4"
"10632","6.89","4"
"10635","34.68","4"
"10652","7.11","4"
"10667","15.71","4"
"10675","14.23","4"
"10680","5.98","4"
"10682","102.07","4"
"10685","19.36","4"
"10687","77.15","4"
"10692","24.8","4"
"10698","3.38","4"
"10700","31.06","4"
"10704","2.67","4"
"10708","260.09","4"
"10724","87.96","4"
"10727","17.72","4"
"10732","29.16","4"
"10758","7.62","4"
"10764","18.73","4"
"10774","3.38","4"
"10780","23.52","4"
"10792","26.33","4"
"10803","177.54","4"
"10810","16.89","4"
"10813","7.39","4"
"10814","66.69","4"
"10820","296.97","4"
"10821","47.38","4"
"10823","32.44","4"
"10824","735.58","4"
"10832","7.19","4"
"10833","4.33","4"
"10837","13.31","4"
"10842","162.98","4"
"10849","32.02","4"
"10851","17.01","4"
"10852","37.96","4"
"10853","7.9","4"
"10854","10.47","4"
"10861","12.48","4"
"10862","18.54","4"
